D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
1984,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,811.26,,0,0.0,24,36000.0,0,0.0,0.0,158400.0,0.0,108000.0,0.0,2.0,0.31,1.25,0.39,0.3,0.3,0.7,0.52,0.74,0.9,0.55,0.61,1.0,1.0,1.0,2,5,1.9,3.0,0.12,0.31,10.95,2.65,283.5,1215.0,142.4,2733.33,2733.33,1
1954,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3717.36,,4,4500.0,48,92400.0,0,0.0,0.0,120000.0,0.0,268800.0,0.0,2.0,0.28,1.25,0.28,0.32,0.32,0.7,0.52,0.74,,,,1.0,1.0,1.0,0,4,0.18,0.9,,,12.0,3210586.0,1115208.0,3717.36,166.0,2800.0,2800.0,1
1981,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,512.46,,0,0.0,29,41825.0,0,0.0,21720.0,0.0,0.0,29280.0,0.0,3.0,0.31,1.25,,0.3,0.3,0.78,0.67,0.86,,,,1.0,1.0,0.0,0,3,,,,,10.5,427220.0,117580.0,461.08,196.61,2800.0,2800.0,0
1981,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,409.96,170.8,0,0.0,12,30500.0,0,0.0,9240.0,6600.0,0.0,0.0,4680.0,2.0,0.36,1.25,0.36,0.35,0.35,0.91,0.73,0.8,,,,1.0,0.0,1.0,0,3,0.14,1.7,,,8.4,423471.0,194390.0,388.78,199.0,2800.0,2800.0,0
1993,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,654.0,0.0,0,0.0,14,28000.0,0,0.0,13920.0,3600.0,0.0,18000.0,0.0,3.0,0.31,1.25,0.31,0.3,0.3,0.77,0.64,0.83,,,,1.0,1.0,0.0,0,3,0.03,0.5,,,10.8,614260.0,154615.0,545.7,187.0,2800.0,2800.0,1
1966,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,679.68,,0,0.0,12,16800.0,4,5600.0,0.0,97200.0,0.0,72960.0,0.0,2.0,0.45,1.25,0.45,0.35,0.35,1.14,0.85,1.0,,,,1.0,1.0,1.0,0,3,0.05,3.0,,,9.9,766850.0,102262.5,681.75,186.67,2800.0,2800.0,1
1987,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1673.8,,0,0.0,52,62400.0,8,9600.0,0.0,0.0,0.0,2386000.0,0.0,3.0,0.31,1.25,0.31,0.22,0.22,0.77,0.64,0.83,,,,1.0,1.0,0.0,0,4,0.05,2.2,,,7.4,1321.07,251070.0,1673.8,172.5,2800.0,2800.0,1
1974,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1910.71,0.0,0,0.0,34,53275.0,0,0.0,0.0,345600.0,0.0,1350000.0,0.0,2.0,0.28,1.25,0.28,0.42,0.42,0.7,0.49,0.7,,,,1.0,1.0,1.0,0,6,0.25,4.5,,,10.8,1763597.0,444542.0,1910.71,126.08,2800.0,2800.0,1
1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,4087.0,645.0,10,32836.0,3,9000.0,21,69000.0,0.0,0.0,7140.0,0.0,0.0,1.0,0.29,1.25,0.29,0.56,0.56,0.72,0.44,0.61,,,,1.0,1.0,1.0,12,11,0.59,5.1,,,18.5,3908065.0,1226250.0,4087.5,210.0,4200.0,2800.0,1
1991,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1755.82,,10,836.1,7,585.3,4,334.4,35650.0,83720.0,59400.0,36800.0,16100.0,2.0,0.32,1.25,,0.4,0.4,0.8,0.54,0.68,,,,1.0,1.0,0.0,0,4,,,,,16.0,2526.0,526740.0,1755.8,210.0,4200.0,2800.0,0
1983,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1633.6,,0,0.0,42,63000.0,2,1920.0,0.0,0.0,0.0,2700000.0,0.0,2.0,0.3,1.25,0.3,0.31,0.22,0.75,0.63,0.85,,,,1.0,1.0,0.0,0,14,0.05,3.45,,,10.7,918580.0,161611.0,1299.84,169.0,2800.0,2800.0,1
1973,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1184.9,0.0,12,11545.35,42,80850.0,0,0.0,0.0,2289608.0,0.0,2098575.0,0.0,2.0,0.28,1.25,0.28,0.31,0.31,0.7,0.49,0.74,,,,1.0,1.0,1.0,0,7,0.13,1.9,,,720.0,1073373.0,215600.0,1232.0,169.0,2800.0,2800.0,0
